gene_symbol,chem_id,chem_name,action_norm,action_family
ABCB1,MESH:D000077146,Irinotecan,affects^metabolic processing|affects^response to substance,modifies
ABCB1,MESH:D000077157,Sorafenib,affects^expression|affects^response to substance,other
ABCB1,MESH:D000077209,Decitabine,affects^expression|affects^methylation,modifies
ABCB1,MESH:D000077209,Decitabine,affects^cotreatment|affects^expression|affects^methylation,modifies
ABCB1,MESH:D000082,Acetaminophen,affects^response to substance,other
ABCB1,MESH:D000111,Acetylcysteine,affects^cleavage|affects^reaction|affects^response to substance,modifies
ABCB1,MESH:D000927,Anticonvulsants,affects^response to substance,other
ABCB1,MESH:D001151,Arsenic,affects^response to substance,other
ABCB1,MESH:D001379,Azathioprine,affects^response to substance,other
ABCB1,MESH:D001554,Benzene,affects^response to substance,other
ABCB1,MESH:D002220,Carbamazepine,affects^response to substance,other
ABCB1,MESH:D002945,Cisplatin,affects^reaction|affects^response to substance,other
ABCB1,MESH:D002945,Cisplatin,affects^response to substance,other
ABCB1,MESH:D002945,Cisplatin,affects^cotreatment|affects^response to substance,other
ABCB1,MESH:D003474,Curcumin,affects^response to substance,other
ABCB1,MESH:D003520,Cyclophosphamide,affects^cotreatment|affects^response to substance,other
ABCB1,MESH:D003561,Cytarabine,affects^response to substance,other
ABCB1,MESH:D003630,Daunorubicin,affects^response to substance,other
ABCB1,MESH:D003907,Dexamethasone,affects^response to substance,other
ABCB1,MESH:D004121,Dimethyl Sulfoxide,affects^expression,other
ABCB1,MESH:D004294,Domperidone,affects^response to substance,other
ABCB1,MESH:D004317,Doxorubicin,affects^response to substance,other
ABCB1,MESH:D004317,Doxorubicin,affects^reaction|affects^response to substance,other
ABCB1,MESH:D004317,Doxorubicin,affects^expression|affects^response to substance,other
ABCB1,MESH:D004317,Doxorubicin,affects^cleavage|affects^reaction|affects^response to substance,modifies
ABCB1,MESH:D004317,Doxorubicin,affects^response to substance|increases^transport,activates
ABCB1,MESH:D005047,Etoposide,affects^response to substance,other
ABCB1,MESH:D005472,Fluorouracil,affects^cotreatment|affects^response to substance,other
ABCB1,MESH:D005978,Glutathione,affects^expression|decreases^reaction,inhibits
ABCB1,MESH:D006034,Glycyrrhetinic Acid,affects^activity|affects^response to substance,modifies
ABCB1,MESH:D006843,"Hydrocarbons, Chlorinated",affects^response to substance,other
ABCB1,MESH:D006861,Hydrogen Peroxide,affects^expression|decreases^reaction,inhibits
ABCB1,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABCB1,MESH:D007559,Ivermectin,affects^response to substance,other
ABCB1,MESH:D007654,Ketoconazole,affects^expression|decreases^reaction,inhibits
ABCB1,MESH:D008628,Mercury,affects^abundance|affects^response to substance,modifies
ABCB1,MESH:D008691,Methadone,affects^response to substance,other
ABCB1,MESH:D008727,Methotrexate,affects^response to substance,other
