gene_symbol,action_family,n_full,n_strict,pruned
ACTG1P17,inhibits,1,1,0
ACTG1P20,activates,1,1,0
ACTG1P20,inhibits,1,1,0
ACTG1P25,activates,1,1,0
ACTG1P3,inhibits,1,1,0
ACTG1P4,activates,4,4,0
ACTG1P4,inhibits,2,2,0
ACTG1P9,activates,2,2,0
ACTG1P9,inhibits,1,1,0
ACTG2,activates,36,34,2
ACTG2,inhibits,27,27,0
ACTG2,modifies,1,1,0
ACTG2,other,4,,4
ACTL10,activates,5,5,0
ACTL10,inhibits,8,8,0
ACTL10,other,1,,1
ACTL6A,activates,12,12,0
ACTL6A,inhibits,19,19,0
ACTL6A,modifies,1,1,0
ACTL6A,other,2,,2
ACTL6B,activates,14,14,0
ACTL6B,inhibits,5,5,0
ACTL6B,modifies,1,1,0
ACTL6B,other,1,,1
ACTL7A,activates,6,6,0
ACTL7A,inhibits,3,3,0
ACTL7A,other,1,,1
ACTL7B,activates,4,4,0
ACTL7B,inhibits,7,7,0
ACTL7B,other,1,,1
ACTL8,activates,8,8,0
ACTL8,inhibits,9,9,0
ACTL8,modifies,1,1,0
ACTL9,activates,5,5,0
ACTL9,inhibits,2,2,0
ACTL9,modifies,1,1,0
ACTMAP,activates,6,6,0
ACTMAP,inhibits,13,13,0
ACTMAP,modifies,1,1,0
ACTMAP,other,4,,4
ACTN1,activates,47,47,0
ACTN1,binds,1,1,0
ACTN1,inhibits,49,49,0
ACTN1,modifies,4,4,0
ACTN1,other,9,,9
ACTN1-DT,activates,1,1,0
ACTN1-DT,inhibits,1,,1
ACTN2,activates,19,19,0
ACTN2,inhibits,23,23,0
ACTN2,modifies,1,1,0
ACTN2,other,4,,4
ACTN3,activates,7,4,3
ACTN3,inhibits,20,20,0
ACTN3,other,1,,1
ACTN4,activates,37,37,0
ACTN4,binds,2,2,0
ACTN4,inhibits,26,26,0
ACTN4,modifies,1,1,0
ACTN4,other,5,,5
ACTR10,activates,23,21,2
ACTR10,inhibits,15,15,0
ACTR10,modifies,1,1,0
ACTR10,other,1,,1
ACTR1A,activates,23,23,0
ACTR1A,inhibits,9,9,0
ACTR1A,other,5,,5
ACTR1B,activates,9,9,0
ACTR1B,inhibits,19,19,0
ACTR1B,other,2,,2
ACTR2,activates,27,25,2
ACTR2,inhibits,13,13,0
ACTR2,other,6,,6
